question,answer,info
空全体を10としたとき、雲が占める割合を何という？,雲量,目視で空を見上げ、雲がどの程度あるかを数値化したものです。
雲量が「0〜1」のときの天気は何？,快晴,雲量2〜8は「晴れ」、9〜10は「くもり」と区別されます。
気温をはかるとき、地上から何mの高さではかるのが一般的？,1.5m,照り返しの影響を避け、大気の温度を正確に測るための標準的な高さです。
乾湿計で、示度が低くなる（温度が下がる）のは「乾球」と「湿球」のどっち？,湿球,湿球は水が蒸発する際に熱を奪われるため、乾球より温度が低くなります。
湿球の温度が乾球より低くなるのは、水が何するときに熱を奪うから？,蒸発（気化）,湿度が低いほど蒸発が盛んになり、乾球との温度差が大きくなります。
風向とは、「風が吹いてくる方向」と「吹いていく方向」のどっちのこと？,風が吹いてくる方向,北風といえば「北から吹いてくる風」を指します。
風向は全部で何方位で表す？,16方位,北・北北東・北東…のように細かく分類されます。
気圧の単位「hPa」の読み方は？,ヘクトパスカル,「ヘクト」は100倍を意味する接頭辞です。
1hPaは何Pa？,100Pa,計算問題で単位換算が必要な場合があるため覚えておきましょう。
雨量50mmとは、雨水がどこにも流れ出さなかった場合、深さ何cmたまるとう意味？,5cm,10mm = 1cmなので、50mmは5cmに相当します。
気温や湿度を測定する、白いペンキが塗られた木の箱を何という？,百葉箱,日光を反射し、風通しを良くするために白いペンキと鎧戸が使われています。
晴れた日の1日で、最高気温が出るのはふつう午後何時ごろ？,午後2時ごろ,太陽が南中してから地面が温まり、その熱が空気に伝わるまでタイムラグがあるためです。
夜間、地面から熱が放出されて冷え込む現象を何という？,放射冷却,雲がない晴れた夜は熱が宇宙へ逃げやすいため、特に冷え込みます。
高度36000kmから雲の様子などを観測している人工衛星の名前は？,ひまわり,静止軌道から常に同じ範囲の気象を観測しています。
全国の観測所で自動的に降水量などを観測するシステムの略称は？,アメダス（AMeDAS）,約17km間隔で設置され、地域ごとの細かい気象データを集めています。
天気記号で、二重丸（◎）は何を表す？,くもり,白丸は「快晴」、丸の中に縦棒一本は「晴れ」です。
天気図で、気圧が等しい地点を結んだ曲線を何という？,等圧線,地図の等高線と同じような役割で、気圧の分布を可視化します。
等圧線は、何hPaごとに引くのが原則？,4hPa,4hPaごとに細い線、20hPaごとに太い線（計曲線）を引きます。
風力は、0からいくつまでの階級に分けられる？,13階級（0〜12）,ビューフォート風力階級に基づき、煙や樹木の揺れ具合で判定します。
等圧線の引き方のルールで「なめらかに結ぶ」以外の決まりは？,交わらない（枝分かれしない）,途切れたり交わったりすることはありません。
