no,question,answer,info
1,気温や湿度が広い範囲でほぼ一様な空気のかたまりを何というか。,気団,空気がある場所に長期間とどまると、その下の地表面の性質（大陸や海上）を反映した巨大な空気の塊になります 。
2,性質の異なる気団が接したときにできる境界面を何というか。,前線面,気温や湿度など性質の異なる気団は、密度が違うためすぐには混じり合わず、境目（面）ができます 。
3,前線面が地面と接しているところを何というか。,前線,前線面が地表面と交わる線です。天気図に描かれるのはこの「線」の部分です 。
4,寒気が暖気の下にもぐりこみ、暖気を押し上げながら進む前線は？,寒冷前線,寒気の方が密度が大きいため、暖気の下に潜り込みます。通過後は気温が急激に下がります 。+2
5,暖気が寒気の上にはい上がり、寒気を押しやりながら進む前線は？,温暖前線,暖気が寒気の上に緩やかに乗り上げます。通過後は暖気に覆われるため、気温が上がります 。+3
6,寒冷前線が温暖前線に追いついて重なった前線を何というか。,閉そく前線,寒冷前線の方が移動速度が速いため、やがて温暖前線に追いつきます。これができると低気圧は衰退に向かいます 。+2
7,寒気と暖気の勢力がほぼ同じで、停滞している前線を何というか。,停滞前線,暖気と寒気がぶつかり合い、位置がほとんど変わりません。梅雨前線や秋雨前線がこれにあたります 。+2
8,寒冷前線付近で発達し、強い雨をもたらす雲は何雲か。,積乱雲,暖気が急激に押し上げられるため、強い上昇気流が生じ、垂直に発達した雲ができます 。+1
9,温暖前線付近で広い範囲にでき、弱い雨を長く降らせる層状の雲は？,乱層雲,暖気が緩やかに上昇するため、水平に広がる層状の雲ができ、広範囲に長時間雨を降らせます 。+1
10,中緯度帯で発生する、前線をともなう低気圧を何というか。,温帯低気圧,北の寒気と南の暖気が接する場所に発生します。西側に寒冷前線、東側に温暖前線を伴うことが多いです 。
11,日本付近の上空を、西から東へ一年中吹いている風を何というか。,偏西風,中緯度地域の上空を地球一周するように吹いています。この風が低気圧や高気圧を運びます 。+2
12,偏西風の影響で、日本の天気は一般的にどの方角からどの方角へ変わるか。,西から東,雲や気圧配置が偏西風に流されるため、日本付近の天気は西から東へと移り変わります 。+1
13,季節によって吹く方向が変わる風を何というか。,季節風,大陸と海洋の温まり方の違いによる気圧差が原因です。冬は大陸から海へ、夏は海から大陸へ吹きます 。+2
14,日本の冬の季節風は、どの方角から吹くか。,北西,冬はユーラシア大陸が冷えて高気圧になるため、大陸から日本海を渡って北西の風が吹きます 。+1
15,日本の夏の季節風は、どの方角から吹くか。,南東,夏は太平洋上が高気圧（小笠原気団）になるため、湿った暖かい南東寄りの風が日本に吹きます 。+3
16,冬にユーラシア大陸上で発達する、冷たく乾燥した気団は？,シベリア気団,シベリア高気圧によって作られます。冬の日本の天気に最も大きな影響を与えます 。+4
17,夏に太平洋上で発達する、あたたかく湿った気団は？,小笠原気団,太平洋高気圧によって作られます。日本の夏が蒸し暑くなる原因です 。+3
18,初夏や秋に現れる、冷たく湿った気団は？,オホーツク海気団,オホーツク海高気圧によって作られます。梅雨の時期、小笠原気団と勢力を争います 。+3
19,冬に見られる「西に高気圧、東に低気圧」の気圧配置を何というか。,西高東低,冬の典型的な配置です。等圧線が縦に並び、北西からの季節風が強くなります 。
