question,answer,info
create,を創り出す、を引き起こす,名：creation（創造） 形：creative（創造的な）  Technological change will create new ways of living.（技術の変化は新たな生活様式を創り出す。）
increase,増加する、を増やす,名：increase（増加） 副：increasingly（ますます）  Japan's real GDP increased by 1.9 percent last year.（日本の実質GDPは昨年1.9パーセント増加した。）
improve,を向上させる、よくなる,名：improvement（改善）  Light exercise improves thinking ability.（軽い運動は思考力を向上させる。）
mean,を意味する、(･･･する)つもりである,mean that...（･･･ということを意味する）  Her silence means that she does not agree with you.（彼女の沈黙は彼女があなたに同意していないことを意味する。）
own,を所有している、を認める,形：自分自身の 名：owner（所有者）  A millionaire from China owns this hotel.（中国の富豪がこのホテルを所有している。）
include,を含む,税込み：tax included 名：inclusion（包含）  Jane's work includes typing letters and making appointments.（ジェーンの仕事は手紙をタイプしたり、アポを取ったりすることを含む。）
consider,を見なす、について考える,consider A (to be) B（AをBと見なす） 形：considerate（思いやりのある）  She considers herself to be lucky.（彼女は自分自身を幸運だと見なしている。）
allow,を許す、を与える,allow to do（～が･･･するのを許す） 名：allowance（手当）\nThe company allows its employees to take long winter vacations.（その会社は従業員が長い冬期休暇をとるのを許している。）
suggest,を提案する、を暗示する,suggest that...（･･･するように提案する） 名：suggestion（提案）  The teacher suggested that he study physics in university.（先生は彼が大学で物理学を学ぶことを提案した。）
produce,を生産する、を取り出す,名：農産物 形：productive（生産的な）  The manufacturer produces home electrical appliances.（その製造業者は家庭用電化製品を生産している。）
decide,を決める、に決着をつける,decide to do（･･･することに決める） 名：decision（決定）  She has decided to memorize ten English words a day.（彼女は1日に10個の英単語を覚えることに決めた。）
offer,を提供する、申し出る,offer to do（･･･することを申し出る） 名：提案、提供  Uncle George offered me an opportunity to work for his company.（ジョージおじさんは彼の会社で働く機会を私に提供した。）
require,を要求する、を必要とする,require to do（～に･･･することを要求する） 名：requirement（必要条件）  The Road Traffic Law requires you to wear a seat belt.（道路交通法はあなたがシートベルトを着用することを要求する。）
share,を共有する、を分担する,share A with B（AをBと分かち合う） 名：分け前、株  I share my office space with other people.（私はほかの人々と事務所スペースを共用している。）
store,を保存する、を蓄える,名：店、蓄え  You should store backups of data on the Internet regularly.（定期的にインターネット上にデータのバックアップを保存するべきだ。）
tend,傾向がある、世話する,tend to do（～する傾向がある） 名：tendency（傾向）  My town tends to get windy.（私の町は風がよく吹く傾向がある。）
concern,心配している、関係する,be concerned about（～を心配している） 前：concerning（～に関して）  We are concerned about the negative effect of the new tax law.（私たちは新しい税法のマイナス効果を心配している。）
describe,について述べる、を説明する,describe A as B（AをBと述べる） 名：description（描写）  She described her physical condition to her doctor.（彼女は医師に自分の体調を説明した。）
involve,を関与させる、を伴う,be involved in（～にかかわる、没頭する）  In Japan more and more men are involved in raising children.（日本では、子育てにかかわる男性が増えている。）
reduce,を減らす、を変える,名：reduction（減少）  Good eating habits can reduce the risk of heart disease.（よい食習慣は心疾患の危険を軽減し得る。）
design,を設計する、を計画する,be designed for...（～向けに設計されている） 名：デザイン  Airbags are designed to protect average-sized adult males.（エアバッグは平均的な体格の成人男性を保護するように設計されている。）
force,に強いる、を強要する,force to do（～に･･･することを強いる） 名：力、軍隊  The scandal forced the CEO to resign from his position.（そのスキャンダルはCEOにその地位を辞することを強いた。）
limit,を制限する、を規制する,A is limited to B（AはBに限られる） 名：限度、境界線  Tweets were originally limited to 140 characters.（ツイートはもとは140文字までに限られていた。）
bear,に耐える、を産む,bear in mind（心に留める） 活用：bear-bore-borne  The man could not bear his stomachache.（その男性は胃の痛みに耐えることができなかった。）
affect,に影響を及ぼす、を感動させる,名：affection（愛情） 同：influence  Your language can affect your way of thinking.（あなたの使う言語はあなたの考え方に影響を及ぼす可能性がある。）
deal,を処理する、を扱う,deal with（～を処理する） 名：取引、量  Our team deals with complaints from our customers.（我がチームは顧客からの苦情を処理する。）
avoid,を避ける,avoid doing（～することを避ける） 形：unavoidable（避けられない）  She somehow avoided getting involved in the quarrel.（彼女はどうにかその口論に巻き込まれるのを避けた。）
relate,を関連づける、関連する,be related to（～に関連している） 名：relation（関連）  She believes that people's blood types are related to their personalities.（彼女は人の血液型はその人の性格に関連していると信じている。）
realize,に気づく、を実現する,realize one's ambition（夢を実現する） 名：realization（理解）  She realized that she was put in a difficult position.（彼女は自分が難しい立場に置かれていることに気づいた。）
encourage,を奨励する、を励ます,encourage to do（～するように奨励する） 名：encouragement（励み）  Many companies encourage their employees not to work overtime.（多くの会社は従業員に残業をしないように奨励している。）
compare,を比較する、をたとえる,compare A with [to] B（AをBと比較する） 名：comparison（比較）  She compared the Japanese economy with the U.S. economy.（彼女は日本経済をアメリカ経済と比較した。）
measure,を測る、を評価する,名：方策、基準、程度  She measures her temperature every morning.（彼女は毎朝体温を測る。）
exist,存在する、生存する,名：existence（存在） come into existence（生まれ出る）  Some linguists think that about 8000 languages exist in the world.（言語学者の中には世界には約8000の言語が存在すると考える人もいる。）
mark,に印をつける、を汚れさせる,mark A with B（AにBで印をつける） 名：跡、汚れ、点数  During the test the student marked his answers with a pencil.（テスト中に、その生徒は鉛筆で自分の解答に印をつけた。）
challenge,に異議を唱える、に挑む,face a challenge（難題に立ち向かう） 形：challenging（やりがいのある） He challenged the common belief that laughter is a unique human feature.（彼は、笑いが人間独自の特徴であるという常識に異議を唱えた。）
depend,頼る、～次第である,depend on（～に頼る） 名：dependence（依存）  Children depend on their parents for many things.（子供は多くのことを親に頼っている。）
object,反対する,object to（～に反対する） 名：物、対象、目的  Her parents objected to her marriage.（彼女の両親は彼女の結婚に反対した。）
demand,を要求する,demand that...（･･･するように要求する） 名：需要  I demanded that she let me go with her.（私は彼女に自分を一緒に連れて行くように要求した。）
found,を設立する、を築く,A is founded on B（AはBに基づいている） 名：foundation（基礎）  A thinker in the Meiji Era founded this university.（明治時代のある思想家がこの大学を設立した。）
complete,を完成させる、仕上げる,形：完全な、完成した 名：completion（完成）  She completed all the forms for her college application.（彼女は大学の入学願書の用紙すべてに記入し終えた。）
idea,考え、理解,have no idea（まったくわからない） 形：ideal（理想的な）  He came up with a good idea for the school party.（彼は学校のパーティーに合ういい考えを思いついた。）
accord,一致、合意、協定,in accord with（～と一致して） 副：according to（～によると）  The research results were in accord with the expectations of the team.（研究結果はチームの予想と一致していた。）
company,会社、仲間、一緒にいること,enjoy one's company（一緒にいて楽しむ）  He started to work for an insurance company three years ago.（彼は3年前に保険会社で働き始めた。）
interest,興味、利子、利害,have an interest in（～に興味がある） 形：interested（興味を持った）  She seems to have a great interest in classical music.（彼女はクラシック音楽に大いに興味があるようだ。）
